0d1n 1:263.2d723ae-1
dhcp 4.4.3.P1-1
dhcpcd 9.4.1-1
dhcpf 3.a770b20-2
dhcpig 2:92.9fd8df5-2
dhcpoptinj 123.58a12c6-1
dialog 1:1.3_20230209-1
diffutils 3.9-1
ding-libs 0.6.2-1
dinouml 0.9.5-2
dirb 2.22-2
dirble 1:1.4.2-1
dirbuster 1.0_RC1-11
dirbuster-ng 9.0c34920-1
directorytraversalscan 1.0.1.0-3
dirhunt 298.57bfd58-2
dirscanner 0.1-4
dirscraper 16.e752450-4
dirsearch 2288.0a18692-1
dirstalk 1.3.3-3
disitool 0.4-3
dislocker 564.3a8f757-1
dissector 1-3
distorm 3.5.2.b-1
dizzy 2.0-6
dkmc 56.3c238f0-1
dkms 3.0.10-1
dmde 3.8.0.790-1
dmenu 5.2-1
dmg2img 1.6.7-5
dmidecode 3.5-1
dmitry 1.3a-5
dmraid 1.0.0.rc16.3-14
dnmap 0.6-7
dns-parallel-prober 68.422db61-1
dns-reverse-proxy 36.937d3d2-1
dns-spoof 13.81ba29f-1
dns2geoip 0.1-3
dns2tcp 0.5.2-6
dnsa 0.6-1
dnsbf 0.3-1
dnsbrute 2.b1dc84a-3
dnscan 208.2e23323-1
dnschef 17.a395411-3
dnscobra 1.0-1
dnsdiag 292.1f94ad7-1
dnsdrdos 0.1-4
dnsenum 1.2.4.2-4
dnsfilexfer 24.126edcd-2
dnsgoblin 1:0.1-2
dnsgrep 14.3f4fa7c-3
dnsmap 0.30-4
dnsmasq 2.89-1
dnsobserver 5.f331482-2
dnspredict 0.0.2-3
dnsprobe 56.7120008-2
dnspy 6.1.8-1
dnsrecon 2:1.1.3-1
dnssearch 20.e4ea439-4
dnssec-anchors 20190629-3
dnsspider 1.3-3
dnsteal 28.1b09d21-1
dnstracer 1.10-2
dnstwist 557.404cb20-1
dnsvalidator 82.146c9b0-1
dnswalk 2.0.2-8
dnsx 474.1ed65d8-1
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docem 20.b0ddd87-3
docker 1:23.0.2-1
dockerscan 59.590a844-4
domain-analyzer 0.8.1-2
domain-stats 165.1cf05bf-2
domained 80.d9d079c-2
domainhunter 51.38cb7ef-1
domato 123.8083920-1
domi-owned 41.583d0a5-6
domlink 37.1cabd5d-2
dontgo403 0.7.r12.g9b6f590-1
donut 501.61af8cc-1
doona 145.7a4796c-2
doork 6.90c7260-3
doozer 9.5cfc8f8-3
dorkbot 176.b9c3eff-1
dorkme 57.0a7017a-2
dorknet 58.419d6a2-2
dorkscout 1.0.r13.gdd87daf-1
dos2unix 7.4.4-1
dosfstools 4.2-3
dotdotpwn 3.0.2-3
dotnet-host 7.0.3.sdk103-1
dotnet-runtime 7.0.3.sdk103-1
dotnet-runtime-6.0 6.0.14.sdk114-1
dotnet-sdk 7.0.3.sdk103-1
dotnet-targeting-pack 7.0.3.sdk103-1
dotpeek 2021.3.3-1
double-conversion 3.2.1-1
doxygen 1.9.6-1
dpeparser 1:beta002-3
dpscan 0.1-3
dr-checker 140.ea63c0f-1
dr0p1t-framework 44.db9bc2d-2
dracnmap 69.09d3945-1
dradis-ce 5575.ed72071c-1
dragon-backdoor 7.c7416b7-4
driftnet 1:v1.3.0.r13.ge492335-2
drinkme 19.acf1a14-1
dripcap 0.6.15-1
dripper v1.r1.gc9bb0c9-1
droopescan 1.45.1-2
drozer 2.4.4-9
drupal-module-enum 11.525543c-3
drupalscan 0.5.2-12
drupwn 1:59.8186732-3
dscanner 0.14.0-1
dsd 91.7ee04e5-1
dsfs 36.8e9f8e9-2
dshell 142.695c891-3
dsjs 32.26287d0-2
dsniff 2.4b1-32
dsss 123.84ddd33-2
dsstore-crawler 6.524117b-1
dsxs 130.3e628b6-1
dtp-spoof 5.3ae05fc-1
dublin-traceroute 338.600c6ea-1
ducktoolkit 37.42da733-2
duktape 2.7.0-5
dumb0 19.1493e74-2
dump1090 386.bff92c4-3
dumpacl 1:0.1-1
dumpsmbshare 21.9fd4d5b-1
dumpusers 1.0-1
dumpzilla 03152013-5
duplicut 2.2-1
dutas 10.37fa3ab-4
dvcs-ripper 54.2c1bbc6-2
dwarf 1079.b1d9d65-1
dynamorio 9.0.19046-1
e2fsprogs 1.47.0-1
eapeak 130.9550d1c-1
eaphammer 273.e8d1ff8-3
eapmd5pass 3.3d5551f-2
easy-creds 45.bf9f00c-1
easyda 7.0867f9b-3
easyfuzzer 3.6-5
eazy 0.1-3
ecfs 305.1758063-1
edb 3247.4c824664-1
edk2-shell 202211-3
efitools 1.9.2-5
eggshell 157.eaeeea7-1
eigrp-tools 0.1-1
eindeutig 20050628_1-4
elasticsearch 7.10.2-3
electric-fence 2.2.5-1
elettra 1.0-4
elettra-gui 1.0-5
elevate 27.1272d51-2
elfkickers 3.2-4
elfparser 7.39d21ca-2
elfutils 0.189-1
elidecode 48.38fa5ba-4
elinks 0.16.0-1
elite-proxy-finder 51.1ced3be-3
ell 0.56-1
email2phonenumber 29.9df9dbe-1
emldump 0.0.11-1
emp3r0r v1.23.0.r1.g3621842-1
empire 2:2764.3f2ad6ad-1
enabler 1-7
enchant 2.3.4-1
encodeshellcode 0.1b-3
ent 1.0-2
enteletaor 66.e8e4daa-7
entropy 702.13aac50-1
enum-shares 7.97cba5a-4
enum4linux 0.9.1-2
enum4linux-ng 400.5729ab8-1
enumerate-iam 14.4529114-2
enumerid 30.5311fd8-1
enumiax 1.0-6
enyelkm 1.2-2
eos 14.0127319-1
epicwebhoneypot 2.0a-3
erase-registrations 1.0-3
eresi 1291.4769c175-2
erl-matter 46.a983e94-1
erlang-nox 25.3-1
espeak-ng 1.51.1-2
espionage 1:45.1926d8a-1
eternal-scanner 91.4ba62ff-1
etherape 0.9.20-1
etherchange 1.1-1
etherflood 1.1-2
ethtool 1:6.2-1
ettercap 0.8.3.1-2
evil-ssdp 94.ee76fb0-4
evil-winrm 1:v3.4.r0.g381b126-4
evilclippy 62.fa610c6-1
evilginx 2.4.0-3
evilgrade 2.0.9-2
evilize 0.2-1
evillimiter 36.46d2033-4
evilmaid 1.01-2
evilpdf 5.43696a8-1
evine 42.46051de-1
evtkit 8.af06db3-2
exabgp 5000.13314356-1
exe2image 1.1-1
exempi 2.6.3-1
exescan 1.ad993e3-3
exiflooter 33.a92e697-1
exitmap 369.172e763-2
exiv2 0.27.6-1
expac 10-5
expat 2.5.0-1
expimp-lookup 4.79a96c7-2
exploitdb 20221122-1
exploitpack 139.e565c47-1
expose 1110.30264af-1
exrex 146.239e4da-1
extended-ssrf-search 28.680f815-1
extracthosts 17.8fdff9e-1
extractusnjrnl 7.362d4290-1
eyeballer 140.5b15ce7-1
eyepwn 1.0-3
eyewitness 1017.4d7736e-1
f-scrack 19.9a00357-2
f2fs-tools 1.15.0-2
facebash 17.95c3c25-1
facebookosint 21.656a04a-3
facebot 23.57f6025-3
facebrok 33.0f6fe8d-1
facebrute 7.ece355b-3
factordb-pycli 1.3.0-3
fakeap 0.3.2-5
fakedns 118.39609da-1
fakemail 1.0-5
fakenet-ng 300.68da2d7-1
fakenetbios 7.b83701e-2
fakeroot 1.31-2
fang 22.4f94552-2
faradaysec 11825.57fe1a600-1
fastnetmon v1.1.4.r62.g780aff3-3
fav-up 48.6190c79-1
favfreak 26.a1ecf3b-2
fbht 1:70.d75ae93-3
fbi 28.0f94e99-1
fbid 16.1b35eb9-1
fcrackzip 1.0-6
fdsploit 26.4522f53-3
featherduster 191.9229158-1
feh 3.9.1-2
fern-wifi-cracker 295.76c64b3-1
fernflower 485.e19aab6-1
fernmelder 6.c6d4ebe-1
feroxbuster 2.7.1.r11.g53e3420-1
ffcall 2.4-2
ffm 60.ad691d4-1
ffmpeg 2:6.0-4
fftw 3.3.10-4
ffuf 1:v2.0.0.r1.gb2c1f94-1
ffuf-scripts 1.2192bf7-1
fgscanner 11.893372c-2
fhttp 1.3-6
fi6s 172.8d5ddba-1
fierce 134.99eca52-2
figlet 2.2.5-4
fiked 0.0.5-6
file 5.44-3
filebuster 95.f2b04c7-1
filefuzz 1.0-4
filegps 90.03cbc75-1
fileintel 33.a0bff38-2
filesystem 2023.01.31-1
filibuster 167.c54ac80-2
fimap 2:1.00-5
finalrecon 123.2f64052-1
find-dns 0.1-4
find3 604.5964026-1
findmyhash 1.1.2-7
findmyiphone 19.aef3ac8-1
findomain 8.2.2-1
findsploit 87.3e61d8d-1
findutils 4.9.0-3
fingerprinter 480.105ab04-2
firecat 6.b5205c8-2
firefox 111.0.1-1
firefox-decrypt 1.0.0.r17.g84bb368-1
firefox-security-toolkit 16.31dacf0-1
firejail 0.9.72-1
firewalk 5.0-5
firmwalker 101.23ff299-1
firmware-mod-kit 149.8403a17-1
firstexecution 6.a275793-2
firstorder 8.107eb6a-1
fl0p 0.1-2
flac 1.4.2-1
flake8 1:6.0.0-1
flare 0.6-4
flare-floss 860.7138b61-1
flashlight 109.90d1dc5-1
